"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2021","24,794,000","23,585,000","24,794,000","23,585,000","0.77K","5.13%"
"Mar 25, 2021","23,585,000","23,831,000","24,106,000","23,585,000","1.24K","-1.03%"
"Mar 24, 2021","23,831,000","24,815,000","25,099,000","23,831,000","1.37K","-3.97%"
"Mar 23, 2021","24,815,000","25,404,000","25,404,000","24,815,000","1.08K","-2.32%"
"Mar 22, 2021","25,404,000","26,184,000","26,249,000","25,404,000","1.08K","-2.98%"
"Mar 21, 2021","26,184,000","26,287,000","26,287,000","26,167,000","0.69K","-0.39%"
"Mar 20, 2021","26,287,000","26,285,000","26,287,000","26,285,000","0.82K","0.01%"
"Mar 19, 2021","26,285,000","25,986,000","26,285,000","25,986,000","1.02K","1.15%"
"Mar 18, 2021","25,986,000","26,460,000","26,460,000","25,986,000","1.16K","-1.79%"
"Mar 17, 2021","26,460,000","26,310,000","26,460,000","25,964,000","1.45K","0.57%"
"Mar 16, 2021","26,310,000","26,242,000","26,514,000","26,086,000","1.30K","0.26%"
"Mar 15, 2021","26,242,000","26,850,000","26,850,000","26,000,000","2.24K","-2.26%"
"Mar 14, 2021","26,850,000","27,680,000","27,680,000","26,850,000","1.26K","-3.00%"
"Mar 13, 2021","27,680,000","25,800,000","27,680,000","25,800,000","2.06K","7.29%"
"Mar 12, 2021","25,800,000","26,319,000","26,319,000","25,800,000","1.44K","-1.97%"
"Mar 11, 2021","26,319,000","25,999,000","26,319,000","25,999,000","1.81K","1.23%"
"Mar 10, 2021","25,999,000","26,746,000","26,746,000","25,999,000","2.61K","-2.79%"
"Mar 09, 2021","26,746,000","26,202,000","26,746,000","25,971,000","2.62K","2.08%"
"Mar 08, 2021","26,202,000","24,785,000","26,202,000","24,785,000","1.94K","5.72%"
"Mar 07, 2021","24,785,000","23,914,000","24,785,000","23,914,000","1.66K","3.64%"
"Mar 06, 2021","23,914,000","22,345,000","23,914,000","22,345,000","2.08K","7.02%"
"Mar 05, 2021","22,345,000","22,565,000","22,565,000","22,345,000","1.45K","-0.97%"
"Mar 04, 2021","22,565,000","22,808,000","22,960,000","22,565,000","1.64K","-1.13%"
"Mar 03, 2021","22,824,000","21,727,000","22,824,000","21,727,000","1.84K","5.05%"
"Mar 02, 2021","21,727,000","22,624,000","22,624,000","21,727,000","1.74K","-3.97%"
"Mar 01, 2021","22,626,000","20,816,000","22,626,000","20,816,000","1.76K","8.70%"
"Feb 28, 2021","20,816,000","21,641,000","21,641,000","20,816,000","3.48K","-3.81%"
"Feb 27, 2021","21,641,000","21,349,000","21,641,000","21,349,000","1.77K","1.37%"
"Feb 26, 2021","21,349,000","21,700,000","21,700,000","21,349,000","2.89K","-1.31%"
"Feb 25, 2021","21,633,000","23,895,000","23,895,000","21,633,000","2.02K","-9.47%"
"Feb 24, 2021","23,895,000","23,400,000","25,000,000","23,400,000","2.39K","2.12%"
"Feb 23, 2021","23,400,000","26,397,000","26,397,000","22,139,000","6.14K","-11.35%"
"Feb 22, 2021","26,397,000","28,590,000","28,590,000","26,397,000","3.73K","-7.67%"
"Feb 21, 2021","28,590,000","28,349,000","28,590,000","28,349,000","1.46K","0.85%"
"Feb 20, 2021","28,349,000","28,561,000","28,561,000","28,349,000","2.77K","-0.74%"
"Feb 19, 2021","28,561,000","27,642,000","28,561,000","27,642,000","2.58K","3.32%"
"Feb 18, 2021","27,642,000","26,045,000","27,642,000","26,045,000","2.44K","6.13%"
"Feb 17, 2021","26,045,000","25,604,000","26,045,000","25,604,000","1.71K","1.72%"
"Feb 16, 2021","25,604,000","25,700,000","25,757,000","25,604,000","1.59K","-0.37%"
"Feb 15, 2021","25,700,000","26,316,000","26,316,000","25,700,000","2.17K","-2.34%"
"Feb 14, 2021","26,316,000","26,175,000","26,600,000","26,175,000","1.48K","0.54%"
"Feb 13, 2021","26,175,000","26,222,000","26,222,000","26,175,000","1.52K","-0.18%"
"Feb 12, 2021","26,221,000","25,294,000","26,221,000","25,294,000","1.87K","3.66%"
"Feb 11, 2021","25,294,000","24,910,000","25,442,000","24,910,000","1.82K","1.54%"
"Feb 10, 2021","24,910,000","24,937,000","25,621,000","24,910,000","2.64K","-0.11%"
"Feb 09, 2021","24,937,000","24,175,000","24,937,000","24,175,000","3.08K","3.25%"
"Feb 08, 2021","24,152,000","22,780,000","24,312,000","22,780,000","3.65K","6.02%"
"Feb 07, 2021","22,780,000","23,607,000","23,607,000","22,397,000","3.21K","-3.50%"
"Feb 06, 2021","23,607,000","24,073,000","24,073,000","23,607,000","2.67K","-1.94%"
"Feb 05, 2021","24,073,000","22,253,000","24,183,000","22,253,000","3.40K","8.18%"
"Feb 04, 2021","22,253,000","22,984,000","22,984,000","21,890,000","4.12K","-3.17%"
"Feb 03, 2021","22,982,000","21,075,000","22,982,000","21,075,000","5.46K","9.05%"
"Feb 02, 2021","21,075,000","19,171,000","21,075,000","19,171,000","7.43K","10.02%"
"Feb 01, 2021","19,155,000","18,503,000","19,155,000","18,503,000","2.75K","3.52%"
"Jan 31, 2021","18,503,000","19,229,000","19,229,000","18,503,000","2.17K","-3.78%"
"Jan 30, 2021","19,229,000","19,052,000","19,229,000","18,932,000","2.70K","0.93%"
"Jan 29, 2021","19,052,000","18,450,000","19,380,000","18,450,000","4.92K","3.26%"
"Jan 28, 2021","18,450,000","17,820,000","18,450,000","17,820,000","3.31K","3.54%"
"Jan 27, 2021","17,820,000","19,301,000","19,301,000","17,820,000","4.65K","-7.67%"
"Jan 26, 2021","19,301,000","18,724,000","19,301,000","18,724,000","4.18K","3.08%"
"Jan 25, 2021","18,724,000","19,504,000","19,600,000","18,724,000","6.53K","-4.00%"
"Jan 24, 2021","19,505,000","17,313,000","19,505,000","17,313,000","4.19K","12.66%"
"Jan 23, 2021","17,313,000","17,530,000","17,530,000","17,313,000","2.80K","-1.24%"
"Jan 22, 2021","17,530,000","16,193,000","17,530,000","15,545,000","6.27K","8.26%"
"Jan 21, 2021","16,193,000","19,520,000","19,520,000","16,193,000","6.22K","-17.04%"
"Jan 20, 2021","19,520,000","19,408,000","19,520,000","19,408,000","4.93K","0.58%"
"Jan 19, 2021","19,408,000","17,677,000","19,408,000","17,677,000","6.77K","9.83%"
"Jan 18, 2021","17,671,000","17,388,000","17,671,000","17,388,000","2.98K","1.63%"
"Jan 17, 2021","17,388,000","17,459,000","17,459,000","17,388,000","3.66K","-0.41%"
"Jan 16, 2021","17,459,000","16,713,000","17,459,000","16,713,000","5.30K","4.46%"
